avg,avg_err,chi2,dof,rchi2
rates,0.14078,0.0012361,4.3752,7,0.62503
yields,16.708,0.16612,5.2041,7,0.74344
theta,8.4506,0.01172,3.9238,7,0.56055
q2,0.028095,7.7228e-05,6.722,7,0.96028
asym,0.0095279,0.00078962,4.1748,7,0.59639
