md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0059086,4.9993e-05,0.69589,0.006482,8.4321,0.0098697,0.029471,7.0737e-05,2.6253,0.0062663
2,0.006088,5.0526e-05,0.73426,0.0067074,8.4466,0.0098345,0.029692,7.0659e-05,2.6469,0.0062616
3,0.0060472,5.0289e-05,0.72774,0.0066367,8.4549,0.0097471,0.029695,6.9826e-05,2.6461,0.0061896
4,0.0057243,4.8948e-05,0.65818,0.0061975,8.4752,0.010097,0.029686,7.2344e-05,2.6466,0.0063965
5,0.0059011,5.026e-05,0.69104,0.0065592,8.4396,0.0099956,0.029271,7.1272e-05,2.61,0.0063204
6,0.0062673,5.1897e-05,0.74792,0.0068407,8.4403,0.0097484,0.029241,6.9437e-05,2.6061,0.0061537
7,0.0061144,5.1265e-05,0.72992,0.0067651,8.4341,0.0098393,0.029222,7.0156e-05,2.6047,0.0062195
8,0.0060848,5.103e-05,0.72005,0.0066879,8.4296,0.0099181,0.02931,7.0712e-05,2.6128,0.0062658
