avg,avg_err,chi2,dof,rchi2
rates,1.1685,0.0049413,52.941,7,7.563
yields,149.99,0.67526,48.736,7,6.9623
theta,7.5776,0.0036322,2.1511,7,0.30731
q2,0.023684,2.4077e-05,35.572,7,5.0818
asym,2.0847,0.0019542,40.866,7,5.8379
