md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.00088855,6.5563e-06,0.11927,0.00096719,8.7201,0.0099642,0.031642,7.2237e-05,2.8221,0.0064144
2,0.0008899,6.5521e-06,0.11903,0.00095882,8.7186,0.0099268,0.03173,7.2005e-05,2.8296,0.0063866
3,0.00089195,6.5701e-06,0.12021,0.00097151,8.7137,0.0099824,0.031666,7.2426e-05,2.8238,0.0064308
4,0.00089847,6.6024e-06,0.11988,0.00096396,8.722,0.0099236,0.031579,7.1877e-05,2.8169,0.006385
5,0.000906,6.6542e-06,0.12113,0.00097562,8.7174,0.0099522,0.031389,7.1804e-05,2.8003,0.006378
6,0.00090388,6.6588e-06,0.12024,0.00097278,8.7129,0.0099597,0.031281,7.1836e-05,2.7903,0.0063719
7,0.00091255,6.6703e-06,0.1225,0.00098207,8.7275,0.0098001,0.031413,7.0749e-05,2.8023,0.0062872
8,0.0009082,6.6543e-06,0.12089,0.0009735,8.7144,0.0099513,0.031477,7.1943e-05,2.8078,0.0063811
