md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.009518,9.9503e-05,1.2179,0.013581,7.7852,0.010048,0.025169,6.8308e-05,-2.2448,0.0060605
2,0.0094259,9.904e-05,1.2195,0.013699,7.7789,0.010151,0.025208,6.8987e-05,-2.2488,0.0061282
3,0.0094543,9.9529e-05,1.2105,0.01354,7.7734,0.010173,0.025139,6.9084e-05,-2.2421,0.0061365
4,0.0096024,0.00010068,1.2245,0.013657,7.7816,0.010078,0.025068,6.8269e-05,-2.2361,0.0060653
5,0.0097419,0.00010261,1.2529,0.014097,7.7746,0.010166,0.02489,6.8739e-05,-2.2199,0.0061143
6,0.01001,0.00010442,1.2881,0.014361,7.7776,0.010073,0.024838,6.799e-05,-2.2156,0.0060427
7,0.0099496,0.00010413,1.2859,0.014315,7.7743,0.010105,0.024859,6.8094e-05,-2.216,0.0060808
8,0.0097733,0.00010239,1.265,0.014154,7.7704,0.0101,0.024951,6.838e-05,-2.2255,0.0060773
