avg,avg_err,chi2,dof,rchi2
rates,0.00088559,4.8107e-06,73.437,7,10.491
yields,0.11351,0.0006448,72.515,7,10.359
theta,7.311,0.0037696,17.191,7,2.4558
q2,0.021988,2.4263e-05,44.925,7,6.4179
asym,1.8862,0.0012819,78.966,7,11.281
