md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.039599,0.00058877,4.9695,0.078089,7.3047,0.01065,0.02204,7.0117e-05,1.8243,0.0034732
2,0.038158,0.00056951,4.7832,0.075026,7.3118,0.010667,0.022151,7.0641e-05,1.8327,0.0034209
3,0.039187,0.00058827,4.9006,0.077909,7.3057,0.010804,0.022076,7.1213e-05,1.829,0.0034593
4,0.039879,0.00060353,4.8779,0.076948,7.2978,0.010893,0.021921,7.1588e-05,1.8163,0.0035379
5,0.0411,0.0006698,5.0879,0.089896,7.2979,0.011972,0.021813,7.6978e-05,1.8177,0.0033526
6,0.043602,0.00065095,5.503,0.086729,7.284,0.010628,0.021648,6.9339e-05,1.8023,0.003403
7,0.043098,0.0006357,5.3611,0.083097,7.2966,0.01041,0.021742,6.8078e-05,1.8064,0.0034018
8,0.040706,0.00060512,5.144,0.080774,7.3042,0.01054,0.021922,6.9082e-05,1.8164,0.0034284
