avg,avg_err,chi2,dof,rchi2
rates,0.21005,0.0024624,10.768,7,1.5382
yields,26.997,0.34171,10.814,7,1.5449
theta,8.5272,0.015437,5.3084,7,0.75835
q2,0.029253,0.00010562,8.9292,7,1.2756
asym,0.012007,0.0011496,12.268,7,1.7526
