avg,avg_err,chi2,dof,rchi2
rates,0.0016645,8.43e-06,58.237,7,8.3196
yields,0.20352,0.0010873,72.793,7,10.399
theta,7.3371,0.0034242,10.048,7,1.4355
q2,0.022106,2.203e-05,56.429,7,8.0612
asym,1.9268,0.0012653,77.014,7,11.002
