avg,avg_err,chi2,dof,rchi2
rates,0.033021,0.00013877,77.534,7,11.076
yields,3.9847,0.017757,94.262,7,13.466
theta,7.6403,0.0036351,20.211,7,2.8872
q2,0.024053,2.4272e-05,75.214,7,10.745
asym,2.0389,0.0020595,76.171,7,10.882
