avg,avg_err,chi2,dof,rchi2
rates,0.0016856,8.5292e-06,56.955,7,8.1364
yields,0.21412,0.0011505,64.984,7,9.2835
theta,7.324,0.0034166,7.8157,7,1.1165
q2,0.022041,2.1989e-05,55.731,7,7.9616
asym,1.9211,0.0012711,78.843,7,11.263
