md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0066545,5.3984e-05,0.87631,0.007746,8.3557,0.0098539,0.029062,6.9962e-05,2.5924,0.0062117
2,0.0066373,5.3765e-05,0.87915,0.0077527,8.3607,0.0098848,0.02917,7.0136e-05,2.6025,0.0062174
3,0.0067664,5.4593e-05,0.89523,0.0078432,8.3356,0.0098195,0.028967,6.969e-05,2.5839,0.0061924
4,0.0066781,5.434e-05,0.86735,0.0077019,8.3461,0.0099229,0.028897,7.0283e-05,2.5775,0.0062335
5,0.006684,5.4586e-05,0.87965,0.0078373,8.3475,0.0099959,0.028785,7.0525e-05,2.5681,0.0062621
6,0.0066573,5.4359e-05,0.87527,0.0077951,8.3702,0.010004,0.028863,7.0613e-05,2.5745,0.0062734
7,0.0067709,5.4999e-05,0.88655,0.0078065,8.346,0.00988,0.028719,6.9672e-05,2.5614,0.0061873
8,0.0067737,5.4819e-05,0.89035,0.0078719,8.344,0.0098188,0.02883,6.9402e-05,2.5729,0.0061574
