avg,avg_err,chi2,dof,rchi2
rates,0.00078314,3.9292e-06,231.34,7,33.048
yields,0.081744,0.00045525,241.38,7,34.484
theta,7.8046,0.0043126,24.692,7,3.5275
q2,0.024972,2.9336e-05,67.43,7,9.6328
asym,2.1189,0.002396,65.732,7,9.3903
