avg,avg_err,chi2,dof,rchi2
rates,0.00022661,1.153e-06,34.161,7,4.8801
yields,0.028649,0.00015397,36.256,7,5.1794
theta,7.3222,0.0032719,8.3038,7,1.1863
q2,0.021911,2.0465e-05,36.051,7,5.1501
asym,2.1597,0.0019871,38.498,7,5.4997
