md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0011967,1.1559e-05,0.13691,0.0014376,8.2054,0.010958,0.027781,7.7493e-05,2.4739,0.0068659
2,0.0012447,1.1778e-05,0.14586,0.001497,8.1942,0.010769,0.027813,7.6113e-05,2.4778,0.0067402
3,0.0012105,1.1575e-05,0.14149,0.0014702,8.2141,0.010818,0.027893,7.6555e-05,2.4848,0.0067831
4,0.0011665,1.1346e-05,0.13152,0.0013993,8.2311,0.010978,0.027871,7.7525e-05,2.481,0.0068548
5,0.0012246,1.1883e-05,0.14011,0.0014956,8.1877,0.010959,0.027443,7.6787e-05,2.4446,0.006806
6,0.0013075,1.2463e-05,0.15367,0.0015969,8.1692,0.010824,0.027263,7.5661e-05,2.4321,0.0066355
7,0.0012675,1.2168e-05,0.14716,0.0015442,8.1778,0.010862,0.027334,7.6103e-05,2.4341,0.0067471
8,0.0012597,1.196e-05,0.1452,0.0015093,8.1881,0.010657,0.02755,7.4838e-05,2.4555,0.0066263
