avg,avg_err,chi2,dof,rchi2
rates,0.00029689,1.3752e-06,55.007,7,7.8582
yields,0.037534,0.00017606,53.479,7,7.6398
theta,7.5688,0.0041477,19.802,7,2.8289
q2,0.023522,2.7572e-05,67.821,7,9.6887
asym,2.3588,0.002556,48.092,7,6.8703
