avg,avg_err,chi2,dof,rchi2
rates,0.20816,0.0024699,3.2123,7,0.4589
yields,26.652,0.34368,1.7887,7,0.25552
theta,8.5346,0.015853,2.6313,7,0.37589
q2,0.029354,0.00010848,2.3471,7,0.3353
asym,0.0096192,0.0011046,2.0952,7,0.29931
