md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0066337,5.3905e-05,0.88389,0.0078193,8.3581,0.0099535,0.029091,7.0673e-05,2.5944,0.0062782
2,0.0066631,5.3967e-05,0.88544,0.0077739,8.3512,0.0099066,0.029129,7.0331e-05,2.5979,0.0062453
3,0.0066206,5.3824e-05,0.87411,0.007701,8.3546,0.0099809,0.029132,7.0898e-05,2.598,0.0062996
4,0.0066662,5.4291e-05,0.88023,0.0077979,8.3456,0.0099622,0.028932,7.0621e-05,2.5806,0.0062678
5,0.006798,5.5059e-05,0.90141,0.0079506,8.347,0.0099274,0.028784,7.0051e-05,2.5677,0.0062207
6,0.0067803,5.5075e-05,0.89704,0.0079442,8.3487,0.009925,0.028725,6.996e-05,2.5617,0.0062069
7,0.0067799,5.4979e-05,0.90579,0.0080054,8.3528,0.009912,0.028779,6.9887e-05,2.5672,0.0062041
8,0.0067118,5.4522e-05,0.89477,0.0079125,8.3491,0.0098905,0.028883,6.9883e-05,2.5761,0.0062092
