md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.011372,0.00017022,1.4046,0.022079,7.2946,0.010696,0.021976,7.0451e-05,1.8617,0.0035683
2,0.011482,0.00017458,1.4384,0.022992,7.2829,0.011042,0.022002,7.2254e-05,1.8669,0.0035278
3,0.011177,0.0001702,1.3919,0.022713,7.2948,0.011033,0.022039,7.2402e-05,1.8682,0.0035348
4,0.011607,0.00017277,1.4506,0.022734,7.3051,0.010602,0.021963,6.9605e-05,1.8645,0.0034434
5,0.012043,0.00018105,1.5085,0.024289,7.2902,0.010703,0.021738,7.0152e-05,1.8506,0.003475
6,0.012,0.00018007,1.5228,0.024376,7.3027,0.010641,0.021769,6.945e-05,1.8498,0.0035042
7,0.011929,0.00017811,1.5054,0.02389,7.3029,0.010568,0.021787,6.9206e-05,1.8512,0.0034999
8,0.011772,0.00017686,1.4716,0.023508,7.2989,0.010788,0.021877,7.0711e-05,1.8555,0.0035896
