avg,avg_err,chi2,dof,rchi2
rates,0.0013277,5.7383e-06,59.702,7,8.5289
yields,0.17216,0.00078782,44.653,7,6.379
theta,7.5549,0.00362,11.832,7,1.6903
q2,0.023536,2.3887e-05,54.82,7,7.8315
asym,1.9887,0.0020144,48.289,7,6.8984
