avg,avg_err,chi2,dof,rchi2
rates,0.95066,0.0041407,71.667,7,10.238
yields,108.16,0.51133,94.321,7,13.474
theta,7.7139,0.0036899,18.961,7,2.7086
q2,0.024466,2.4856e-05,51.259,7,7.3228
asym,2.1521,0.0020012,58.889,7,8.4126
