avg,avg_err,chi2,dof,rchi2
rates,0.01172,6.3031e-05,41.545,7,5.935
yields,1.4859,0.0085207,46.104,7,6.5862
theta,7.2904,0.0038501,5.3702,7,0.76717
q2,0.021858,2.5175e-05,35.108,7,5.0154
asym,1.8575,0.0012386,58.627,7,8.3753
