avg,avg_err,chi2,dof,rchi2
rates,0.0096065,3.5656e-05,24.319,7,3.4742
yields,1.2171,0.0048177,19.804,7,2.8291
theta,7.7802,0.0035653,4.295,7,0.61357
q2,0.025025,2.4175e-05,34.827,7,4.9754
asym,-2.2318,0.0021479,35.96,7,5.1371
