md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.1223,0.0033005,14.117,0.43945,8.4626,0.036526,0.028461,0.00024248,0.01066,0.0022544
2,0.12191,0.003323,13.732,0.42911,8.4377,0.03681,0.028383,0.00024442,0.0078023,0.0023589
3,0.11921,0.0032352,14.218,0.44617,8.51,0.036352,0.028885,0.00024205,0.011186,0.0027043
4,0.1307,0.0034838,15.388,0.4683,8.4058,0.035431,0.028004,0.00023371,0.013761,0.0027369
5,0.12655,0.0034011,14.895,0.45425,8.4769,0.036205,0.028344,0.00023823,0.0083366,0.0022321
6,0.11936,0.0032713,13.615,0.42294,8.5374,0.036965,0.028673,0.00024432,0.016033,0.0030564
7,0.11943,0.00323,13.968,0.42616,8.5331,0.036164,0.028623,0.00024046,0.010018,0.0025507
8,0.13044,0.003423,15.169,0.45996,8.4594,0.034603,0.02832,0.00023,0.013439,0.0025694
