avg,avg_err,chi2,dof,rchi2
rates,0.034917,0.00014715,31.043,7,4.4348
yields,4.4561,0.019817,35.248,7,5.0354
theta,7.5952,0.0036963,13.262,7,1.8945
q2,0.023799,2.4532e-05,39.818,7,5.6882
asym,2.0157,0.00209,37.072,7,5.296
