avg,avg_err,chi2,dof,rchi2
rates,0.037699,0.000203,67.307,7,9.6153
yields,4.4062,0.025252,78.352,7,11.193
theta,7.3429,0.0038645,11.67,7,1.6671
q2,0.022146,2.5433e-05,36.464,7,5.2092
asym,1.8322,0.0012198,65.681,7,9.3829
