md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0026111,2.2335e-05,0.33054,0.0030626,8.2526,0.010356,0.028238,7.3094e-05,2.5179,0.0064906
2,0.0026176,2.2342e-05,0.33177,0.0030488,8.2552,0.01049,0.028349,7.4012e-05,2.5285,0.0065742
3,0.0026328,2.2401e-05,0.33573,0.0030696,8.2537,0.01038,0.028296,7.3238e-05,2.5227,0.0065073
4,0.0025988,2.2303e-05,0.325,0.0030271,8.27,0.010481,0.028269,7.3784e-05,2.5211,0.0065505
5,0.0026395,2.2665e-05,0.33488,0.0031194,8.2547,0.010398,0.027997,7.309e-05,2.4969,0.0064914
6,0.0026976,2.3109e-05,0.34257,0.0031838,8.24,0.010518,0.027867,7.351e-05,2.4865,0.00652
7,0.0026875,2.3038e-05,0.3409,0.0031601,8.2309,0.010382,0.027829,7.2797e-05,2.4825,0.0064545
8,0.0026671,2.2733e-05,0.33835,0.0031147,8.2539,0.010435,0.028123,7.3444e-05,2.5089,0.0065213
