avg,avg_err,chi2,dof,rchi2
rates,0.001277,5.5551e-06,62.337,7,8.9053
yields,0.15381,0.00071284,62.262,7,8.8946
theta,7.5897,0.0036204,19.793,7,2.8276
q2,0.023714,2.3954e-05,54.844,7,7.8349
asym,2.0073,0.0019909,63.881,7,9.1259
