avg,avg_err,chi2,dof,rchi2
rates,0.034799,0.00014548,45.794,7,6.542
yields,4.4896,0.019951,49.151,7,7.0216
theta,7.5982,0.0036437,8.0518,7,1.1503
q2,0.023817,2.4253e-05,36.124,7,5.1605
asym,2.0164,0.0020719,36.065,7,5.1522
