avg,avg_err,chi2,dof,rchi2
rates,0.0043477,1.2133e-05,6.7107,7,0.95868
yields,0.57927,0.0017638,10.751,7,1.5359
theta,8.4409,0.0035141,5.9448,7,0.84926
q2,0.029581,2.5038e-05,34.286,7,4.898
asym,2.6389,0.0022231,34.876,7,4.9822
