avg,avg_err,chi2,dof,rchi2
rates,0.01139,6.2068e-05,57.587,7,8.2267
yields,1.4521,0.0084452,57.919,7,8.2741
theta,7.297,0.0039103,11.666,7,1.6665
q2,0.021927,2.5618e-05,50.337,7,7.1911
asym,1.8585,0.0012531,64.425,7,9.2036
