avg,avg_err,chi2,dof,rchi2
rates,0.0094164,3.5351e-05,15.314,7,2.1877
yields,1.24,0.0049773,11.355,7,1.6221
theta,7.7838,0.0036396,6.4364,7,0.91949
q2,0.025086,2.4674e-05,35.328,7,5.0469
asym,-2.237,0.0021906,34.806,7,4.9723
