avg,avg_err,chi2,dof,rchi2
rates,0.00024133,1.1016e-06,87.93,7,12.561
yields,0.027205,0.00013311,118.5,7,16.929
theta,7.7055,0.0040491,26.269,7,3.7527
q2,0.024306,2.7285e-05,78.534,7,11.219
asym,2.4277,0.0027146,66.289,7,9.4699
