md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.00027913,3.4491e-06,0.035757,0.00046523,7.5856,0.010951,0.023828,7.3178e-05,2.3845,0.0072908
2,0.00027782,3.4511e-06,0.035906,0.0004806,7.5756,0.010974,0.023831,7.3353e-05,2.3875,0.00723
3,0.00028127,3.4753e-06,0.036181,0.00047218,7.5734,0.01096,0.023815,7.3039e-05,2.3822,0.0072927
4,0.0002961,3.6943e-06,0.038294,0.00050111,7.554,0.011085,0.02352,7.3991e-05,2.357,0.0072798
5,0.00029887,3.7176e-06,0.038808,0.00050873,7.5597,0.011081,0.023473,7.3163e-05,2.349,0.0072928
6,0.00029742,3.7e-06,0.038357,0.00050436,7.5691,0.011022,0.023449,7.3334e-05,2.3496,0.007275
7,0.00030383,3.8364e-06,0.039381,0.0005169,7.5545,0.011237,0.023364,7.4885e-05,2.3427,0.0072457
8,0.0002857,3.5652e-06,0.037096,0.00049303,7.5635,0.011043,0.023578,7.3333e-05,2.3612,0.0073039
