avg,avg_err,chi2,dof,rchi2
rates,0.026201,0.00016019,115.46,7,16.494
yields,2.8121,0.01896,116.72,7,16.674
theta,7.4883,0.0046641,25.163,7,3.5947
q2,0.022982,3.1237e-05,63.366,7,9.0523
asym,1.8815,0.0013882,79.231,7,11.319
