avg,avg_err,chi2,dof,rchi2
rates,0.12567,0.0011776,11.201,7,1.6002
yields,14.539,0.15584,7.7765,7,1.1109
theta,8.4888,0.012561,3.5183,7,0.50262
q2,0.028501,8.3234e-05,1.5573,7,0.22247
asym,0.010937,0.00092688,4.6475,7,0.66393
