avg,avg_err,chi2,dof,rchi2
rates,0.0036448,3.28e-05,13.211,7,1.8872
yields,0.099409,0.001361,4.9007,7,0.70011
theta,9.4207,0.013677,2.2865,7,0.32665
q2,0.029561,8.7111e-05,16.833,7,2.4047
asym,-0.36339,0.001298,6.5923,7,0.94176
