md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0015403,1.1457e-05,0.20771,0.0017026,8.6779,0.0096921,0.031258,6.9821e-05,2.7873,0.006197
2,0.0015098,1.1331e-05,0.20247,0.0016719,8.6754,0.0097777,0.031325,7.0494e-05,2.7936,0.0062476
3,0.0015257,1.1389e-05,0.20616,0.0016919,8.6813,0.0097449,0.031336,7.0346e-05,2.7946,0.0062445
4,0.0015351,1.1429e-05,0.20717,0.0016945,8.6961,0.0098113,0.031305,7.056e-05,2.7928,0.0062586
5,0.0015238,1.1436e-05,0.2054,0.0016942,8.6809,0.0098,0.031039,7.0362e-05,2.7674,0.0062405
6,0.0015577,1.1574e-05,0.20818,0.0016986,8.6844,0.0097472,0.030992,6.984e-05,2.7645,0.0061895
7,0.0015368,1.147e-05,0.20886,0.0017163,8.6982,0.0097394,0.031118,6.9847e-05,2.7748,0.0061921
8,0.0015366,1.1474e-05,0.20643,0.0016928,8.6763,0.0097921,0.031104,7.0376e-05,2.7734,0.0062406
