avg,avg_err,chi2,dof,rchi2
rates,0.0059695,2.5297e-05,198.43,7,28.347
yields,0.63268,0.0030085,184.37,7,26.338
theta,8.0475,0.0040955,12.731,7,1.8187
q2,0.026655,2.8556e-05,52.03,7,7.4328
asym,-2.3708,0.002507,47.424,7,6.7749
