md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.004606,0.00010641,0.12954,0.0041451,9.4148,0.034743,0.029295,0.00022243,-0.36363,0.0033051
2,0.0043266,0.00010004,0.11643,0.0044451,9.3748,0.035732,0.029273,0.00022002,-0.35997,0.0034702
3,0.0043708,0.00010037,0.11449,0.0032247,9.3583,0.034994,0.029357,0.00022246,-0.361,0.0033157
4,0.0044855,9.8524e-05,0.12031,0.0037935,9.3772,0.034005,0.029304,0.00020495,-0.36162,0.0032094
5,0.0045841,0.00010703,0.11766,0.0031088,9.4158,0.036538,0.028966,0.00022429,-0.36264,0.0033782
6,0.00423,0.00010014,0.11589,0.0035855,9.366,0.035737,0.028875,0.000223,-0.35844,0.0032415
7,0.0046061,0.00010854,0.12794,0.0043585,9.4691,0.035844,0.029197,0.00022243,-0.3632,0.0033395
8,0.0044915,0.00010264,0.12527,0.0052227,9.4121,0.035011,0.029211,0.00021496,-0.36545,0.0033283
