md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.00086745,1.2694e-05,0.10859,0.0016799,7.3256,0.01008,0.022151,6.5423e-05,1.8952,0.0036742
2,0.00086092,1.2734e-05,0.10978,0.0017078,7.3217,0.010272,0.022212,6.6556e-05,1.9052,0.0035244
3,0.00087552,1.2761e-05,0.10922,0.0017064,7.3125,0.0099521,0.022109,6.4901e-05,1.8939,0.0035821
4,0.00090784,1.3051e-05,0.1134,0.0017223,7.319,0.0096857,0.022037,6.2898e-05,1.8886,0.0035003
5,0.00095268,1.4103e-05,0.12086,0.0018659,7.3027,0.010215,0.02182,6.543e-05,1.8756,0.0035754
6,0.00095902,1.399e-05,0.12179,0.0018862,7.3027,0.0099365,0.021755,6.3831e-05,1.868,0.0036456
7,0.00096682,1.4014e-05,0.12272,0.0018766,7.2972,0.0098735,0.021739,6.3687e-05,1.8678,0.0036187
8,0.00091628,1.363e-05,0.1156,0.0018805,7.3056,0.010381,0.021908,6.679e-05,1.8815,0.0036977
