avg,avg_err,chi2,dof,rchi2
rates,0.000906,4.7732e-06,64.757,7,9.251
yields,0.11635,0.0006509,54.564,7,7.7948
theta,7.3084,0.0036373,12.272,7,1.7531
q2,0.021959,2.3471e-05,52.841,7,7.5487
asym,1.8841,0.0012753,56.236,7,8.0337
