avg,avg_err,chi2,dof,rchi2
rates,0.00091076,4.9499e-06,54.087,7,7.7267
yields,0.11426,0.00064629,61.45,7,8.7786
theta,7.3092,0.0037601,20.179,7,2.8828
q2,0.021959,2.4244e-05,48.496,7,6.9279
asym,1.8852,0.0012577,48.625,7,6.9465
