avg,avg_err,chi2,dof,rchi2
rates,0.0016867,8.5794e-06,57.669,7,8.2384
yields,0.21465,0.0011595,56.146,7,8.0208
theta,7.3223,0.0034461,11.498,7,1.6426
q2,0.022036,2.2139e-05,58.123,7,8.3033
asym,1.9198,0.0012956,88.975,7,12.711
