md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0013327,1.0924e-05,0.17744,0.0015857,8.341,0.010187,0.028883,7.2094e-05,2.5748,0.0064
2,0.0013109,1.0803e-05,0.17507,0.0015681,8.3405,0.010242,0.028978,7.2526e-05,2.5846,0.0064365
3,0.0013254,1.09e-05,0.17848,0.0015913,8.3333,0.010265,0.028894,7.2618e-05,2.5755,0.0064452
4,0.0013154,1.0892e-05,0.17518,0.0015706,8.3344,0.010234,0.028745,7.2254e-05,2.5645,0.0064108
5,0.0013525,1.1124e-05,0.18002,0.0016055,8.3294,0.010263,0.028576,7.2174e-05,2.5483,0.006411
6,0.001352,1.1168e-05,0.17983,0.0016108,8.3242,0.010335,0.028472,7.2682e-05,2.54,0.0064501
7,0.0013518,1.1125e-05,0.18055,0.0016102,8.3343,0.010282,0.028576,7.2366e-05,2.5489,0.0064336
8,0.001338,1.0991e-05,0.17671,0.0015777,8.3448,0.010226,0.028769,7.2137e-05,2.5674,0.0064032
