md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.01148,0.00017859,1.4367,0.023234,7.2886,0.011409,0.021957,7.4348e-05,1.8646,0.003553
2,0.011166,0.00018542,1.4084,0.024081,7.2793,0.012586,0.021986,8.1168e-05,1.8724,0.0035225
3,0.011099,0.00016536,1.3754,0.021669,7.3102,0.010692,0.022116,7.0617e-05,1.8698,0.0035399
4,0.011614,0.00017375,1.4372,0.023002,7.2945,0.010651,0.021905,6.9787e-05,1.8595,0.003497
5,0.012176,0.00018113,1.519,0.024092,7.2892,0.010509,0.021738,6.8751e-05,1.8504,0.0034362
6,0.01236,0.00018186,1.5432,0.023872,7.296,0.010235,0.021714,6.6897e-05,1.8461,0.003391
7,0.012046,0.00018289,1.5244,0.024254,7.2912,0.010859,0.021726,7.0804e-05,1.8474,0.0035074
8,0.011623,0.00017115,1.4472,0.02241,7.3174,0.010352,0.021971,6.8276e-05,1.865,0.0033926
