avg,avg_err,chi2,dof,rchi2
rates,0.00022132,1.1486e-06,30.274,7,4.3249
yields,0.028331,0.00015734,31.25,7,4.4643
theta,7.3181,0.003337,9.7338,7,1.3905
q2,0.021952,2.0741e-05,47.634,7,6.8049
asym,2.1635,0.0019757,45.145,7,6.4494
