md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0028111,2.1308e-05,0.36366,0.0030271,8.6077,0.0097614,0.030706,7.0146e-05,2.7397,0.0062323
2,0.0028363,2.1416e-05,0.36887,0.0030495,8.5937,0.0097869,0.030701,7.0343e-05,2.7379,0.0062427
3,0.0028201,2.1291e-05,0.36543,0.0030259,8.6191,0.0097564,0.030836,7.012e-05,2.7501,0.0062312
4,0.0028165,2.1398e-05,0.35501,0.0029648,8.5993,0.0098559,0.030557,7.072e-05,2.7257,0.006269
5,0.0029283,2.196e-05,0.37753,0.0031103,8.5746,0.0096939,0.030236,6.9092e-05,2.6971,0.0061434
6,0.0028994,2.185e-05,0.37372,0.0030882,8.5839,0.0096744,0.030232,6.9101e-05,2.6962,0.0061287
7,0.0028711,2.1748e-05,0.36979,0.0030711,8.5814,0.0098663,0.030255,7.0361e-05,2.7001,0.0062391
8,0.0028775,2.1683e-05,0.37071,0.0030732,8.5905,0.0097875,0.030454,7.0079e-05,2.7168,0.006209
