avg,avg_err,chi2,dof,rchi2
rates,0.0026545,8.0354e-06,38.299,7,5.4713
yields,0.3515,0.0011495,45.603,7,6.5148
theta,8.2458,0.0037317,7.9509,7,1.1358
q2,0.028127,2.6212e-05,47.344,7,6.7634
asym,2.509,0.0023228,44.831,7,6.4044
