avg,avg_err,chi2,dof,rchi2
rates,0.034558,0.00014581,51.708,7,7.3869
yields,4.4921,0.020029,43.638,7,6.234
theta,7.5953,0.0037006,4.9817,7,0.71168
q2,0.023815,2.458e-05,37.989,7,5.427
asym,2.0158,0.0020919,35.801,7,5.1144
