avg,avg_err,chi2,dof,rchi2
rates,0.00089982,2.3385e-06,13.186,7,1.8837
yields,0.12038,0.00034316,9.1485,7,1.3069
theta,8.7184,0.0035115,1.7197,7,0.24568
q2,0.031521,2.5405e-05,33.182,7,4.7403
asym,2.8116,0.0022553,31.72,7,4.5314
