md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0013336,1.6138e-05,0.16966,0.0021804,7.5434,0.010078,0.023545,6.6738e-05,1.994,0.0055988
2,0.0012954,1.5737e-05,0.16488,0.0021183,7.5554,0.010176,0.023712,6.7359e-05,2.0044,0.0056917
3,0.0013208,1.5939e-05,0.1681,0.0021522,7.5543,0.010098,0.023666,6.6856e-05,1.9999,0.005675
4,0.0013291,1.6075e-05,0.16718,0.0021444,7.5551,0.0099909,0.023542,6.6068e-05,1.9899,0.0056104
5,0.0013918,1.7044e-05,0.17596,0.0022831,7.5466,0.010333,0.023379,6.7662e-05,1.979,0.0055868
6,0.0013687,1.678e-05,0.17446,0.0022722,7.5465,0.010303,0.02331,6.7766e-05,1.9692,0.0057457
7,0.0013939,1.6873e-05,0.17646,0.0022507,7.5473,0.010163,0.023349,6.6797e-05,1.9727,0.0056591
8,0.0013827,1.7974e-05,0.17614,0.0023019,7.5296,0.011239,0.02336,7.2726e-05,1.9812,0.0056092
