avg,avg_err,chi2,dof,rchi2
rates,1.1753,0.005003,46.16,7,6.5943
yields,148.79,0.67326,46.53,7,6.6472
theta,7.5761,0.0036546,11.428,7,1.6325
q2,0.023671,2.4176e-05,49.563,7,7.0804
asym,2.0847,0.0019393,46.897,7,6.6996
