md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,1.1231,0.013479,147.74,1.8852,7.5925,0.010351,0.023885,6.891e-05,2.1,0.0056067
2,1.1212,0.013424,145.73,1.8596,7.5817,0.010297,0.023894,6.8686e-05,2.1018,0.0055684
3,1.148,0.013709,148.78,1.8864,7.5703,0.010223,0.023781,6.8153e-05,2.0919,0.005538
4,1.1763,0.013982,152.13,1.9315,7.5722,0.010152,0.023674,6.7465e-05,2.0843,0.0054717
5,1.2127,0.014482,156.83,1.9636,7.5675,0.010297,0.023525,6.7991e-05,2.0713,0.0055079
6,1.1907,0.016016,155.54,2.1503,7.5561,0.012215,0.023413,7.8617e-05,2.0735,0.0055496
7,1.197,0.015358,157.31,2.1347,7.5648,0.011457,0.023496,7.4426e-05,2.075,0.0055611
8,1.1882,0.014083,155.19,1.9533,7.5795,0.010184,0.023678,6.7535e-05,2.0819,0.0055241
