avg,avg_err,chi2,dof,rchi2
rates,0.00090348,4.6329e-06,50.773,7,7.2533
yields,0.11057,0.00059783,54.865,7,7.8378
theta,7.3232,0.0034856,4.92,7,0.70285
q2,0.022021,2.2602e-05,28.606,7,4.0866
asym,1.8884,0.001261,42.638,7,6.0912
