avg,avg_err,chi2,dof,rchi2
rates,0.00047365,3.0033e-06,192.3,7,27.471
yields,0.049376,0.00035602,144.08,7,20.582
theta,7.5436,0.0047293,32.016,7,4.5738
q2,0.023262,3.1669e-05,56.733,7,8.1047
asym,1.9728,0.0015933,77.721,7,11.103
