avg,avg_err,chi2,dof,rchi2
rates,0.0042923,3.6241e-05,8.8094,7,1.2585
yields,0.11713,0.0014819,13.696,7,1.9566
theta,9.4222,0.012803,9.8478,7,1.4068
q2,0.029231,8.0058e-05,6.2619,7,0.89456
asym,-0.36584,0.0012107,4.7279,7,0.67541
