avg,avg_err,chi2,dof,rchi2
rates,0.00029633,1.2889e-06,30.066,7,4.2952
yields,0.036753,0.00016729,33.674,7,4.8106
theta,7.5725,0.003832,4.5264,7,0.64663
q2,0.023568,2.545e-05,34.532,7,4.9331
asym,2.3594,0.0025321,32.007,7,4.5724
