md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.034198,0.00040144,4.4387,0.055604,7.6081,0.010217,0.023993,6.8158e-05,2.0294,0.0058599
2,0.033563,0.00039709,4.3505,0.054935,7.6015,0.010292,0.02402,6.8734e-05,2.0332,0.0058832
3,0.033694,0.00041339,4.357,0.056615,7.5856,0.010946,0.023905,7.2439e-05,2.0281,0.0059651
4,0.034404,0.00041101,4.3931,0.055376,7.5969,0.010484,0.023843,6.9602e-05,2.0185,0.0059616
5,0.036197,0.00042798,4.6708,0.058642,7.5875,0.010393,0.023656,6.8796e-05,2.0044,0.0058412
6,0.036223,0.00042884,4.6455,0.058278,7.5945,0.010395,0.023626,6.8875e-05,1.9997,0.0059034
7,0.036162,0.00042994,4.6937,0.059034,7.5849,0.010483,0.023596,6.951e-05,2.0005,0.0058849
8,0.035088,0.00041503,4.545,0.057594,7.5946,0.010333,0.023779,6.8674e-05,2.0109,0.0058962
