avg,avg_err,chi2,dof,rchi2
rates,0.00090568,4.7366e-06,52.738,7,7.534
yields,0.116,0.00063932,52.52,7,7.5028
theta,7.3098,0.0035894,4.6142,7,0.65917
q2,0.021963,2.3182e-05,30.249,7,4.3214
asym,1.8833,0.0012965,49.119,7,7.017
