md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0010285,9.1902e-06,0.11449,0.0011362,8.5234,0.010707,0.029967,7.7022e-05,2.6688,0.0068145
2,0.0011119,9.5907e-06,0.1265,0.0012084,8.495,0.010366,0.029871,7.4565e-05,2.6617,0.0065847
3,0.0010721,9.3526e-06,0.1221,0.0011781,8.5271,0.0104,0.030056,7.5065e-05,2.6731,0.0066522
4,0.00099629,9.0314e-06,0.10829,0.0010932,8.5431,0.010832,0.030006,7.8081e-05,2.6692,0.0068958
5,0.0010406,9.3568e-06,0.11582,0.0011598,8.5061,0.010833,0.029624,7.7644e-05,2.6366,0.0068488
6,0.0011469,9.8829e-06,0.13063,0.0012485,8.4866,0.010353,0.029432,7.3834e-05,2.6229,0.0065226
7,0.0010946,9.6547e-06,0.12268,0.0012028,8.4797,0.010518,0.029391,7.5185e-05,2.6159,0.0066357
8,0.0011101,9.7104e-06,0.12376,0.0012035,8.4637,0.010423,0.029433,7.4491e-05,2.6225,0.0065821
