avg,avg_err,chi2,dof,rchi2
rates,0.14596,0.001215,5.3504,7,0.76434
yields,16.959,0.15919,1.7734,7,0.25334
theta,8.4849,0.01101,6.3465,7,0.90664
q2,0.028089,7.2546e-05,10.377,7,1.4824
asym,0.01126,0.00082062,6.7573,7,0.96532
