md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0028509,2.1445e-05,0.37753,0.0031082,8.6149,0.0097905,0.030767,7.028e-05,2.744,0.006247
2,0.002859,2.1489e-05,0.37941,0.0031259,8.5989,0.0097898,0.030746,7.0342e-05,2.7423,0.0062417
3,0.002845,2.1454e-05,0.37886,0.0031233,8.5986,0.0098481,0.030729,7.0757e-05,2.7419,0.0062809
4,0.002847,2.1528e-05,0.37512,0.003109,8.5944,0.0098017,0.030545,7.0205e-05,2.726,0.0062289
5,0.0028694,2.1651e-05,0.3794,0.0031505,8.6027,0.0097706,0.03045,6.9838e-05,2.7154,0.0061965
6,0.0029232,2.195e-05,0.38444,0.0031639,8.5837,0.0097641,0.030259,6.9608e-05,2.6983,0.0061785
7,0.002911,2.1928e-05,0.38676,0.0031943,8.5731,0.009871,0.030221,7.0356e-05,2.696,0.0062473
8,0.0028642,2.1578e-05,0.37906,0.0031265,8.607,0.009718,0.030564,6.954e-05,2.7256,0.0061723
