avg,avg_err,chi2,dof,rchi2
rates,0.12389,0.001167,10.02,7,1.4314
yields,14.236,0.15327,12.994,7,1.8563
theta,8.5044,0.012608,14.448,7,2.064
q2,0.028613,8.377e-05,7.2946,7,1.0421
asym,0.011544,0.00089571,9.7145,7,1.3878
